Prices,calories,protein,carbs,fat,nutrition_score
249.0,677,16,77,27,20.4
129.0,734,34,68,29,52.6
189.0,604,24,82,35,29.4
189.0,704,19,88,32,23.6
205.0,502,31,57,25,48.4
199.0,658,27,68,28,39.6
165.0,476,15,83,38,8.600000000000001
165.0,673,22,88,36,25.6
115.0,643,27,89,22,49.8
129.0,625,17,85,23,28.0
295.0,638,31,55,33,40.0
279.0,594,25,52,23,37.4
159.0,587,23,57,35,22.4
129.0,587,19,81,27,27.2
199.0,549,30,64,29,43.8
249.0,554,26,78,33,34.6
279.0,630,25,63,23,39.6
205.0,462,31,65,37,38.0
205.0,588,34,57,35,44.4
189.0,561,16,80,34,14.0
189.0,453,22,50,26,28.0
295.0,538,26,79,29,38.8
159.0,657,23,77,37,24.4
169.0,604,30,66,30,43.2
175.0,671,19,85,33,22.0
199.0,685,20,42,35,13.4
199.0,714,23,56,29,28.200000000000003
199.0,559,22,89,24,37.8
115.0,631,17,45,33,10.0
115.0,476,17,48,35,8.600000000000001
125.0,743,21,79,32,25.8
105.0,709,31,59,30,43.8
105.0,573,31,85,24,55.0
115.0,674,24,60,33,27.0
115.0,640,34,40,23,53.0
145.0,453,32,61,25,51.2
165.0,687,26,47,22,39.4
165.0,588,32,85,25,56.0
159.0,528,21,43,39,11.6
129.0,523,29,69,27,44.8
129.0,526,21,43,34,16.6
129.0,646,17,79,34,15.8
115.0,681,24,56,31,28.200000000000003
165.0,537,28,62,20,48.4
105.0,769,33,82,39,43.400000000000006
175.0,486,31,72,22,54.4
249.0,445,18,43,19,25.6
299.0,583,25,66,23,40.2
349.0,413,27,35,18,43.0
279.0,512,23,64,18,40.8
119.0,534,27,59,12,53.8
109.0,665,24,38,11,44.6
109.0,601,19,65,11,40.0
129.0,566,21,47,18,33.4
259.0,495,18,35,10,33.0
209.0,601,15,36,11,26.2
189.0,396,29,57,17,52.4
119.0,685,26,52,10,52.4
378.0,553,19,62,20,30.4
189.0,654,23,38,17,36.6
109.0,362,20,33,10,36.6
249.0,407,17,41,11,31.200000000000003
55.0,574,15,63,22,20.6
139.0,642,29,36,16,49.2
115.0,522,23,52,24,32.4
109.0,374,26,43,19,41.6
70.0,435,19,41,11,35.2
59.0,667,27,58,21,44.6
55.0,421,18,46,15,30.200000000000003
55.0,581,22,69,21,36.8
129.0,382,16,63,17,27.6
129.0,624,21,56,22,31.200000000000003
299.0,545,18,54,10,36.8
399.0,354,29,60,12,58.0
378.0,417,20,52,10,40.4
344.0,416,16,54,22,20.8
388.0,537,28,52,12,54.4
314.0,532,29,44,10,56.8
334.0,390,25,33,11,45.6
318.0,550,17,52,16,28.4
308.0,551,25,69,13,50.8
388.0,391,19,34,20,24.8
244.0,651,26,46,21,40.2
349.0,511,25,44,15,43.8
449.0,694,21,52,19,33.4
378.0,455,23,47,18,37.4
408.0,621,28,64,11,57.8
364.0,521,16,30,14,24.0
324.0,389,27,43,17,45.6
338.0,699,21,34,10,38.8
328.0,567,26,66,11,54.2
354.0,371,17,50,14,30.0
378.0,364,22,46,17,36.2
264.0,476,26,45,23,38.0
249.0,369,27,41,18,44.2
249.0,502,22,37,16,35.4
119.0,419,20,30,10,36.0
109.0,454,19,37,17,28.4
119.0,458,16,31,21,17.2
119.0,586,15,36,19,18.2
119.0,480,16,33,23,15.6
119.0,425,29,47,15,52.4
259.0,443,26,66,16,49.2
179.0,471,20,53,13,37.6
115.0,446,17,66,16,31.200000000000003
279.0,665,21,58,16,37.6
199.0,617,16,48,21,20.6
135.0,569,24,40,13,43.0
219.0,406,28,45,24,41.0
185.0,438,19,69,21,30.8
185.0,524,17,57,14,31.4
249.0,413,24,66,15,46.2
195.0,556,19,47,23,24.4
205.0,603,15,45,10,29.0
225.0,444,19,38,22,23.6
215.0,499,18,34,10,32.8
235.0,371,28,63,13,55.6
189.0,699,15,52,20,20.4
209.0,439,22,57,24,31.4
79.0,619,26,47,15,46.4
79.0,629,27,45,12,51.0
69.0,628,21,53,20,32.6
99.0,491,24,52,20,38.4
109.0,433,20,51,24,26.200000000000003
109.0,450,25,61,18,44.2
119.0,646,16,41,22,18.200000000000003
129.0,674,17,50,15,29.0
139.0,357,15,63,16,26.6
249.0,607,23,57,16,41.4
189.0,685,27,56,14,51.2
109.0,437,16,54,18,24.8
59.0,670,23,57,10,47.4
109.0,639,16,52,11,31.4
57.0,454,20,38,12,35.6
57.0,688,26,59,24,39.8
57.0,652,25,31,20,36.2
57.0,491,23,55,20,37.0
55.0,414,28,55,12,55.0
70.0,629,18,36,13,30.2
55.0,679,24,36,13,42.2
55.0,648,15,42,22,16.4
55.0,672,17,52,10,34.4
55.0,468,22,56,15,40.2
500.0,653,15,76,26,19.200000000000003
529.66,472,33,69,25,54.8
529.66,572,29,43,20,46.6
529.66,485,29,45,27,40.0
90.0,526,32,49,23,50.8
110.0,487,26,55,31,32.0
100.0,662,20,40,27,21.0
90.0,769,29,71,20,52.2
125.0,588,26,43,27,33.6
115.0,768,23,54,23,33.8
110.0,564,27,67,22,45.4
55.0,570,21,62,27,27.4
55.0,742,15,70,37,7.0
500.0,687,21,74,39,17.8
529.66,693,23,60,21,37.0
529.66,468,18,47,20,25.4
529.66,499,24,72,31,31.4
529.66,713,31,40,29,41.0
529.66,688,24,64,23,37.8
529.66,717,17,55,29,16.0
529.66,763,23,86,35,28.2
529.66,491,23,40,24,30.0
529.66,546,22,75,30,29.0
