course,name,Prices,calories,protein,carbs,fat,nutrition_score,meal_category
Fast Food,Platter Kebab Combo,249.0,677,16,77,27,20.4,Expensive_Nutritious
Fast Food,Chicken Rumali Shawarma,129.0,734,34,68,29,52.6,Affordable_Nutritious
Fast Food,Chicken Tandoori Salad,189.0,604,24,82,35,29.400000000000002,Expensive_Nutritious
Fast Food,Chicken BBQ Salad,189.0,704,19,88,32,23.6,Expensive_Nutritious
Fast Food,Special Doner Wrap Combo,205.0,502,31,57,25,48.4,Expensive_Nutritious
Fast Food,Chicken Tandoori Pizza [8 inches],199.0,658,27,68,28,39.6,Expensive_Nutritious
Fast Food,Special Zinger Tortilla Wrap,165.0,476,15,83,38,8.600000000000001,Low_Nutrition
Fast Food,Chicken Popcorn [20 Pieces],165.0,673,22,88,36,25.6,Expensive_Nutritious
Fast Food,Chicken Tandoori Sandwich,115.0,643,27,89,22,49.8,Affordable_Nutritious
Fast Food,Chicken Bread Samoli Shawarma,129.0,625,17,85,23,28.0,Affordable_Nutritious
Fast Food,Fish Platter [Boneless Indian Basa],295.0,638,31,55,33,40.0,Expensive_Nutritious
Fast Food,Special Platter Kebab Combo,279.0,594,25,52,23,37.4,Expensive_Nutritious
Fast Food,Doner Kebab,159.0,587,23,57,35,22.4,Expensive_Nutritious
Fast Food,Chicken Shawarma,129.0,587,19,81,27,27.2,Affordable_Nutritious
Fast Food,French Fries + Coke [220 ml],199.0,549,30,64,29,43.8,Expensive_Nutritious
Fast Food,Platter Kebab Combo,249.0,554,26,78,33,34.6,Expensive_Nutritious
Fast Food,Special Platter Kebab Combo,279.0,630,25,63,23,39.6,Expensive_Nutritious
Fast Food,Special Kebab Wrap Combo,205.0,462,31,65,37,38.0,Expensive_Nutritious
Fast Food,Special Doner Wrap Combo,205.0,588,34,57,35,44.4,Expensive_Nutritious
Fast Food,Chicken Tandoori Salad,189.0,561,16,80,34,14.0,Low_Nutrition
Fast Food,Chicken BBQ Salad,189.0,453,22,50,26,28.0,Expensive_Nutritious
Fast Food,Fish Platter [Boneless Indian Basa],295.0,538,26,79,29,38.8,Expensive_Nutritious
Fast Food,Doner Kebab,159.0,657,23,77,37,24.4,Expensive_Nutritious
Fast Food,Veg Pizza [8 inches],169.0,604,30,66,30,43.2,Expensive_Nutritious
Fast Food,Sweet Corn Pizza [8 inches],175.0,671,19,85,33,22.0,Expensive_Nutritious
Fast Food,Chicken Classic Pizza [8 inches],199.0,685,20,42,35,13.4,Low_Nutrition
Fast Food,Chicken Barbeque Pizza [8 inches],199.0,714,23,56,29,28.200000000000003,Expensive_Nutritious
Fast Food,Chicken Tandoori Pizza [8 inches],199.0,559,22,89,24,37.8,Expensive_Nutritious
Fast Food,Chicken Barbeque Burger,115.0,631,17,45,33,10.0,Basic_Meal
Fast Food,Chicken Tandoori Burger,115.0,476,17,48,35,8.600000000000001,Basic_Meal
Fast Food,Chicken Zinger Burger,125.0,743,21,79,32,25.8,Affordable_Nutritious
